date,open,high,low,close,volume
2018-08-30,44.28,44.455,44.245,44.42,10025
2018-08-31,44.275,44.47,44.15,44.47,26978
2018-09-03,44.535,44.67,44.535,44.56,32143
2018-09-04,44.77,44.805,44.54,44.625,34722
2018-09-05,44.51,44.525,44.145,44.185,5388
2018-09-06,44.205,44.31,43.98,44.065,40031
2018-09-07,44.04,44.295,43.975,44.295,20459
2018-09-10,44.445,44.445,44.195,44.265,24423
2018-09-11,44.155,44.255,44.08,44.255,7797
2018-09-12,44.465,44.56,44.18,44.29,4638
2018-09-13,44.325,44.415,44.2,44.23,8049
2018-09-14,44.325,44.44,44.235,44.435,10191
2018-09-17,44.39,44.46,44.17,44.195,8008
2018-09-18,44.11,44.26,44.0,44.26,9808
2018-09-19,44.345,44.48,44.225,44.43,22249
2018-09-20,44.365,44.4,44.19,44.4,24282
2018-09-21,44.41,44.655,44.41,44.55,27789
2018-09-24,44.385,44.385,44.105,44.18,7972
2018-09-25,44.305,44.4,44.195,44.26,3825
2018-09-26,44.23,44.375,44.23,44.37,6828
2018-09-27,44.305,44.645,44.22,44.645,6510
2018-09-28,44.695,44.85,44.675,44.795,61854
2018-10-01,45.105,45.19,44.985,45.19,10096
2018-10-02,45.11,45.215,45.1,45.12,26466
2018-10-03,45.16,45.375,45.135,45.375,5826
2018-10-04,45.215,45.24,45.0,45.0,15529
2018-10-05,45.05,45.075,44.8,44.8,43457
2018-10-08,44.795,44.89,44.715,44.73,10547
2018-10-09,44.825,44.985,44.77,44.935,25928
2018-10-10,44.75,44.765,43.96,43.965,83302
2018-10-11,43.77,43.77,42.415,42.595,256966
2018-10-12,42.705,42.89,42.545,42.655,150933
2018-10-15,42.51,42.6,42.32,42.6,83592
2018-10-16,42.5,42.905,42.42,42.905,76008
2018-10-17,43.3,43.525,43.125,43.27,6883
2018-10-18,43.55,43.57,43.365,43.365,32692
2018-10-19,43.3,43.43,43.185,43.28,34518
2018-10-22,42.92,43.14,42.78,43.045,91827
2018-10-23,42.47,42.47,42.0,42.18,90516
2018-10-24,42.565,42.98,42.415,42.415,119551
2018-10-25,41.785,42.42,41.745,42.42,114094
2018-10-26,41.975,41.98,41.32,41.64,107898
2018-10-29,41.77,42.46,41.745,41.895,88237
2018-10-30,41.73,41.96,41.52,41.845,66045
2018-10-31,42.42,42.925,42.415,42.84,43167
2018-11-01,42.66,42.81,42.455,42.765,27358
2018-11-02,43.16,43.16,42.565,42.68,128566
2018-11-05,42.635,42.88,42.575,42.715,70253
2018-11-06,42.83,43.03,42.71,42.97,28979
2018-11-07,43.18,43.455,43.165,43.415,51316
2018-11-08,43.975,43.99,43.815,43.96,44296
2018-11-09,44.005,44.09,43.75,43.845,26638
2018-11-12,44.255,44.255,43.47,43.47,26161
2018-11-13,43.6,43.69,43.295,43.515,27343
2018-11-14,43.075,43.42,42.93,42.93,49882
2018-11-15,42.735,42.83,42.265,42.645,131769
2018-11-16,42.945,42.97,42.53,42.76,69719
2018-11-19,42.88,42.975,42.23,42.26,27388
2018-11-20,41.795,41.925,41.42,41.6,61063
2018-11-21,41.63,41.85,41.57,41.84,97319
2018-11-22,41.525,41.525,41.225,41.28,21973
2018-11-23,41.4,41.63,41.385,41.63,22667
2018-11-26,41.805,42.08,41.79,42.04,67365
2018-11-27,42.195,42.42,41.935,42.36,47863
2018-11-28,42.595,42.76,42.585,42.685,26971
2018-11-29,43.27,43.27,42.8,42.97,43957
2018-11-30,43.005,43.365,42.935,43.27,26244
2018-12-03,44.14,44.295,43.765,43.825,61453
2018-12-04,43.695,43.74,43.54,43.63,33808
2018-12-05,43.25,43.25,42.715,42.74,13846
2018-12-06,42.38,42.38,41.26,41.305,82978
2018-12-07,42.045,42.5,41.7,41.725,56146
2018-12-10,41.125,41.395,40.685,40.83,138414
2018-12-11,41.505,42.225,41.405,41.935,127669
2018-12-12,41.845,42.21,41.845,42.175,97033
2018-12-13,41.95,42.105,41.685,41.815,104739
2018-12-14,41.385,41.77,41.375,41.555,74965
2018-12-17,41.165,41.215,40.555,40.95,42063
2018-12-18,40.325,40.51,40.225,40.265,19445
2018-12-19,40.08,40.295,40.025,40.19,93909
2018-12-20,39.47,39.47,38.855,38.975,63036
2018-12-21,38.69,39.28,38.615,38.89,146399
2018-12-24,38.89,38.89,38.89,38.89,0
2018-12-27,38.485,38.84,37.9,38.285,3158
2018-12-28,38.855,39.375,38.855,38.95,5928
2018-12-31,38.95,38.95,38.95,38.95,0
2019-01-02,38.74,39.29,38.38,39.29,15631
2019-01-03,39.02,39.28,38.46,38.71,163718
2019-01-04,38.92,39.56,38.8,39.51,18043
2019-01-07,39.84,39.86,39.55,39.815,21449
2019-01-08,40.07,40.435,40.0,40.025,89303
2019-01-09,40.265,40.455,40.195,40.23,28541
2019-01-10,39.9,40.095,39.745,40.095,40015
2019-01-11,40.33,40.445,40.22,40.43,23029
2019-01-14,40.255,40.43,40.17,40.315,56116
2019-01-15,40.545,40.9,40.49,40.9,69209
2019-01-16,41.115,41.27,41.0,41.22,68496
2019-01-17,40.92,41.3,40.9,41.275,14974
2019-01-18,41.6,42.14,41.52,42.13,33195
2019-01-21,42.005,42.035,41.91,41.975,24478
2019-01-22,41.905,41.975,41.725,41.775,238172
2019-01-23,41.7,41.865,41.495,41.495,42185
2019-01-24,41.595,41.88,41.54,41.7,31729
2019-01-25,41.925,42.06,41.89,41.905,12007
2019-01-28,41.74,41.76,41.29,41.33,130837
2019-01-29,41.305,41.59,41.305,41.385,13719
2019-01-30,41.485,41.755,41.44,41.755,24352
2019-01-31,41.92,42.15,41.905,42.15,10124
2019-02-01,42.43,42.535,42.235,42.36,54433
2019-02-04,42.4,42.49,42.345,42.49,25158
2019-02-05,42.76,43.07,42.76,42.98,4187
2019-02-06,43.005,43.11,42.93,43.09,17251
2019-02-07,43.07,43.105,42.71,42.71,40589
2019-02-08,42.66,42.72,42.51,42.585,19103
2019-02-11,42.98,43.18,42.98,43.115,10851
2019-02-12,43.28,43.465,43.28,43.465,30236
2019-02-13,43.695,43.93,43.585,43.795,7661
2019-02-14,43.94,44.02,43.445,43.645,35569
2019-02-15,43.5,44.195,43.5,44.105,43478
2019-02-18,44.145,44.15,44.005,44.105,2897
2019-02-19,44.1,44.105,44.01,44.01,5179
2019-02-20,44.03,44.045,43.945,44.015,3013
2019-02-21,44.2,44.25,43.88,43.96,5595
2019-02-22,43.965,44.19,43.965,44.19,5043
2019-02-25,44.35,44.5,44.305,44.49,12310
2019-02-26,44.175,44.28,44.095,44.275,5000
2019-02-27,44.015,44.015,43.855,44.015,14535
2019-02-28,43.92,44.04,43.88,44.025,7612
2019-03-01,44.245,44.305,44.14,44.14,2137
2019-03-04,44.535,44.72,44.525,44.525,3823
2019-03-05,44.365,44.47,44.245,44.43,5394
2019-03-06,44.3,44.38,44.26,44.26,13880
2019-03-07,43.965,44.33,43.905,44.08,29661
2019-03-08,43.995,43.995,43.615,43.735,17702
2019-03-11,43.935,44.385,43.92,44.385,7104
2019-03-12,44.54,44.62,44.44,44.55,5932
2019-03-13,44.47,44.835,44.47,44.79,4802
2019-03-14,44.68,44.855,44.665,44.76,42650
2019-03-15,44.69,44.94,44.67,44.93,30979
2019-03-18,44.815,44.975,44.785,44.87,10766
2019-03-19,44.99,45.19,44.98,45.175,31070
2019-03-20,44.94,45.0,44.71,44.71,10758
2019-03-21,44.445,45.15,44.4,45.11,1522
2019-03-22,45.185,45.295,44.78,44.78,2109
2019-03-25,44.53,44.595,44.35,44.57,17012
2019-03-26,44.715,45.1,44.715,44.91,4749
2019-03-27,45.1,45.19,44.655,44.76,13030
2019-03-28,44.88,45.01,44.88,44.985,3372
2019-03-29,45.25,45.36,45.215,45.35,7634
2019-04-01,45.685,45.915,45.64,45.895,22279
2019-04-02,46.01,46.12,45.99,46.115,12282
2019-04-03,46.18,46.205,46.05,46.205,8022
2019-04-04,46.025,46.235,46.025,46.155,4901
2019-04-05,46.29,46.365,46.22,46.365,8175
2019-04-08,46.355,46.38,46.17,46.185,11129
2019-04-09,46.205,46.245,45.96,46.065,15862
2019-04-10,46.095,46.245,46.075,46.14,12424
2019-04-11,46.155,46.3,46.1,46.225,4746
2019-04-12,46.155,46.345,46.13,46.2,7507
2019-04-15,46.245,46.37,46.155,46.27,62587
2019-04-16,46.4,46.55,46.39,46.445,22627
2019-04-17,46.355,46.495,46.355,46.355,2926
2019-04-18,46.155,46.59,46.13,46.445,12217
2019-04-23,46.46,47.095,46.46,47.095,7565
2019-04-24,47.13,47.26,47.09,47.26,10934
2019-04-25,47.3,47.43,47.23,47.38,2686
2019-04-26,47.275,47.325,47.195,47.325,4606
2019-04-29,47.5,47.59,47.455,47.51,6567
2019-04-30,47.375,47.375,47.07,47.14,21334
2019-05-02,47.1,47.23,47.045,47.045,3839
2019-05-03,47.205,47.415,47.18,47.315,2588
2019-05-06,46.605,46.985,46.565,46.985,6416
2019-05-07,47.045,47.07,46.51,46.6,19739
2019-05-08,46.515,46.635,46.185,46.51,30609
2019-05-09,46.165,46.225,45.505,45.575,83574
2019-05-10,46.09,46.15,45.41,45.41,14394
2019-05-13,45.735,45.775,45.095,45.195,55050
2019-05-14,45.275,45.74,45.2,45.74,21087
2019-05-15,45.675,45.805,45.405,45.805,49200
2019-05-16,45.835,46.65,45.765,46.62,17743
2019-05-17,46.29,46.6,46.08,46.6,6842
2019-05-20,46.38,46.405,45.815,46.005,17769
2019-05-21,46.12,46.385,46.11,46.33,6082
2019-05-22,46.28,46.305,46.055,46.305,8309
2019-05-23,45.96,46.01,45.585,45.61,4255
2019-05-24,45.7,45.87,45.455,45.485,10829
2019-05-27,45.705,45.715,45.635,45.64,8408
2019-05-28,45.74,45.765,45.57,45.67,3641
2019-05-29,45.125,45.21,45.055,45.055,5151
2019-05-30,45.245,45.435,45.19,45.22,7668
2019-05-31,44.805,44.865,44.595,44.865,24542
2019-06-03,44.24,44.525,44.17,44.44,3814
2019-06-04,44.03,44.78,44.03,44.78,12475
2019-06-05,45.02,45.33,44.89,45.21,4681
2019-06-06,45.505,45.63,45.22,45.375,23650
2019-06-07,45.705,45.96,45.6,45.85,14544
2019-06-10,46.05,46.305,46.05,46.305,2329
2019-06-11,46.03,46.5,46.03,46.205,10107
2019-06-12,45.895,46.155,45.885,45.995,10390
2019-06-13,46.045,46.445,46.02,46.3,43428
2019-06-14,46.265,46.46,46.265,46.46,2752
2019-06-17,46.625,46.68,46.525,46.59,2494
2019-06-18,46.49,47.31,46.435,47.225,10539
2019-06-19,47.16,47.18,47.015,47.06,20279
2019-06-20,47.29,47.365,47.165,47.205,142971
2019-06-21,47.23,47.355,47.055,47.255,180652
2019-06-24,46.965,46.985,46.845,46.85,6115
2019-06-25,46.68,46.8,46.56,46.65,15096
2019-06-26,46.47,46.715,46.44,46.48,6925
2019-06-27,46.605,46.605,46.37,46.475,5912
2019-06-28,46.575,46.685,46.56,46.625,4726
2019-07-01,47.555,47.555,47.33,47.36,17698
2019-07-02,47.445,47.565,47.34,47.475,79249
2019-07-03,47.7,47.915,47.7,47.905,7450
2019-07-04,48.035,48.125,48.005,48.11,29905
2019-07-05,48.155,48.155,48.0,48.065,29689
2019-07-08,48.09,48.095,47.965,48.02,12796
2019-07-09,47.885,48.05,47.81,48.025,17222
2019-07-10,47.935,48.25,47.87,48.065,29662
2019-07-11,48.15,48.28,48.135,48.235,2954
2019-07-12,48.255,48.405,48.255,48.35,17731
2019-07-15,48.42,48.515,48.39,48.455,13012
2019-07-16,48.475,48.695,48.465,48.595,9669
2019-07-17,48.595,48.6,48.355,48.355,5539
2019-07-18,47.915,48.18,47.91,48.035,11883
2019-07-19,48.28,48.5,48.26,48.365,87916
2019-07-22,48.065,48.18,48.065,48.075,19617
2019-07-23,48.38,48.62,48.38,48.57,6957
2019-07-24,48.735,48.905,48.7,48.835,5633
2019-07-25,49.115,49.33,48.79,48.85,19035
2019-07-26,48.92,49.15,48.92,49.15,5900
2019-07-29,49.165,49.29,49.165,49.165,3962
2019-07-30,49.12,49.12,48.815,48.94,20854
2019-07-31,48.91,49.065,48.91,49.05,10244
2019-08-01,48.85,49.265,48.835,49.265,7610
2019-08-02,48.15,48.32,47.565,47.66,42137
2019-08-05,47.25,47.25,46.295,46.42,45889
2019-08-06,45.995,46.525,45.835,46.185,68308
2019-08-07,46.445,46.785,45.655,46.07,10299
2019-08-08,46.735,47.135,46.68,47.135,14731
2019-08-09,47.445,47.445,47.09,47.09,43499
2019-08-12,47.52,47.54,46.655,46.735,9525
2019-08-13,46.58,47.5,46.375,47.315,9723
2019-08-14,47.445,47.445,46.49,46.57,28725
2019-08-15,46.57,46.57,46.57,46.57,0
2019-08-16,46.75,47.22,46.75,47.165,46287
2019-08-19,47.62,47.83,47.56,47.83,21259
2019-08-20,47.9,47.96,47.645,47.745,15368
2019-08-21,47.635,47.855,47.62,47.82,16914
2019-08-22,47.89,48.03,47.61,47.66,19198
2019-08-23,48.065,48.115,46.88,46.92,12412
2019-08-26,46.67,47.115,46.52,46.835,40238
2019-08-27,46.945,47.355,46.9,47.03,26809
2019-08-28,46.95,47.235,46.74,47.23,20934
2019-08-29,47.405,47.945,47.405,47.935,13552
2019-08-30,48.175,48.405,48.125,48.13,18087
2019-09-02,48.185,48.42,48.16,48.235,3301
2019-09-03,48.19,48.37,47.975,48.045,36584
2019-09-04,48.41,48.495,48.16,48.25,38809
2019-09-05,48.715,48.99,48.57,48.95,55344
2019-09-06,48.97,49.185,48.89,49.005,9493
2019-09-09,49.165,49.24,49.035,49.035,9049
2019-09-10,48.835,48.95,48.63,48.64,18116
2019-09-11,48.96,49.395,48.96,49.395,23303
2019-09-12,49.61,50.02,49.335,49.535,28654
2019-09-13,49.34,49.505,49.34,49.44,68936
2019-09-16,49.13,49.58,49.1,49.505,24570
2019-09-17,49.4,49.49,49.27,49.28,27300
2019-09-18,49.32,49.4,49.24,49.24,7432
2019-09-19,49.275,49.63,49.25,49.63,8993
2019-09-20,49.41,49.75,49.41,49.72,6933
2019-09-23,49.49,49.56,49.37,49.455,8166
2019-09-24,49.62,49.7,49.52,49.52,19206
2019-09-25,49.09,49.315,48.825,49.315,29052
2019-09-26,49.45,49.75,49.26,49.315,12847
2019-09-27,49.685,49.75,49.525,49.54,13794
2019-09-30,49.36,49.62,49.345,49.62,19280
2019-10-01,49.9,49.925,49.385,49.385,8792
2019-10-02,48.765,48.785,47.88,47.88,36369
2019-10-03,48.01,48.075,47.24,47.875,24521
2019-10-04,48.03,48.555,47.985,48.555,25862
2019-10-07,48.67,48.79,48.615,48.79,21912
2019-10-08,48.69,48.69,48.03,48.18,13241
2019-10-09,48.03,48.5,47.995,48.22,42098
2019-10-10,48.195,48.195,48.03,48.195,7481
2019-10-11,48.8,49.22,48.76,49.22,26338
2019-10-14,49.0,49.0,48.7,48.985,9347
2019-10-15,49.215,49.49,49.105,49.435,94528
2019-10-16,49.255,49.36,49.225,49.225,22584
2019-10-17,49.07,49.18,49.04,49.06,9330
2019-10-18,48.95,49.025,48.835,48.885,7081
2019-10-21,48.75,48.94,48.75,48.94,6469
2019-10-22,49.085,49.265,49.04,49.165,18306
2019-10-23,48.95,49.085,48.89,49.085,13502
2019-10-24,49.18,49.325,49.125,49.325,14241
2019-10-25,49.265,49.65,49.2,49.65,6076
2019-10-28,49.685,49.93,49.63,49.86,5169
2019-10-29,49.83,49.895,49.79,49.885,9825
2019-10-30,49.72,49.805,49.585,49.7,8504
2019-10-31,49.72,49.78,49.425,49.455,13961
2019-11-01,49.725,50.01,49.665,49.865,18496
2019-11-04,50.17,50.35,50.15,50.33,24813
2019-11-05,50.4,50.65,50.36,50.62,10775
2019-11-06,50.53,50.55,50.4,50.53,13532
2019-11-07,50.78,51.03,50.76,51.03,23182
2019-11-08,50.81,50.98,50.81,50.96,44632
2019-11-11,50.89,50.93,50.78,50.85,35411
2019-11-12,51.04,51.34,51.0,51.28,23375
2019-11-13,51.11,51.11,50.88,51.11,10007
2019-11-14,51.13,51.27,51.13,51.18,9456
2019-11-15,51.34,51.4,51.25,51.39,25340
2019-11-18,51.49,51.51,51.23,51.33,13124
2019-11-19,51.47,51.57,51.2,51.31,19992
2019-11-20,51.19,51.31,51.15,51.31,16198
2019-11-21,51.05,51.2,51.0,51.07,10742
2019-11-22,51.25,51.34,51.22,51.3,36361
2019-11-25,51.56,51.83,51.56,51.83,13490
2019-11-26,51.88,51.95,51.79,51.94,5032
2019-11-27,52.1,52.21,52.08,52.18,64723
2019-11-28,52.06,52.21,52.04,52.2,15250
2019-11-29,52.07,52.29,52.05,52.08,6048
2019-12-02,52.21,52.29,51.21,51.24,33738
2019-12-03,51.37,51.37,50.62,50.63,26741
2019-12-04,50.79,51.29,50.76,51.24,152035
2019-12-05,51.32,51.38,51.02,51.13,10816
2019-12-06,51.31,52.02,51.29,52.01,44933
2019-12-09,51.88,51.9,51.77,51.84,13138
2019-12-10,51.66,51.73,51.43,51.62,15187
2019-12-11,51.72,51.76,51.57,51.6,21483
2019-12-12,51.55,52.13,51.44,51.88,5628
2019-12-13,51.94,52.19,51.65,51.81,26442
2019-12-16,52.14,52.35,52.11,52.35,24798
2019-12-17,52.32,52.35,52.18,52.28,12401
2019-12-18,52.33,52.52,52.33,52.49,7032
2019-12-19,52.41,52.54,52.36,52.54,7872
2019-12-20,52.63,53.06,52.59,53.06,8912
2019-12-23,53.09,53.27,53.07,53.14,3895
2019-12-24,53.14,53.14,53.14,53.14,0
2019-12-25,53.14,53.14,53.14,53.14,0
2019-12-27,53.21,53.26,52.93,53.01,7230
2019-12-30,52.91,52.91,52.48,52.52,64947
2019-12-31,52.52,52.52,52.52,52.52,0
2020-01-02,52.81,53.18,52.72,52.96,25360
2020-01-03,52.85,53.0,52.67,52.91,22462
2020-01-06,52.48,52.79,52.45,52.79,3812
2020-01-07,53.11,53.24,53.02,53.22,19124
2020-01-08,52.94,53.31,52.94,53.31,32206
2020-01-09,53.77,53.9,53.75,53.86,9871
2020-01-10,54.02,54.15,53.93,53.93,12927
2020-01-13,53.78,53.9,53.76,53.76,30904
2020-01-14,53.81,54.12,53.81,54.0,30946
2020-01-15,54.0,54.08,53.76,53.99,23310
2020-01-16,54.1,54.33,54.09,54.27,29695
2020-01-17,54.52,54.81,54.52,54.77,4033
2020-01-20,54.74,54.8,54.7,54.8,10969
2020-01-21,54.59,54.81,54.51,54.8,101359
2020-01-22,54.98,55.08,54.87,54.88,56300
2020-01-23,54.74,54.9,54.59,54.73,65088
2020-01-24,55.15,55.27,54.91,54.96,58628
2020-01-27,54.1,54.15,53.71,53.84,131633
2020-01-28,54.09,54.38,53.86,54.38,153862
2020-01-29,54.62,54.76,54.5,54.65,42362
2020-01-30,53.87,54.19,53.76,53.98,161002
2020-01-31,54.46,54.46,53.5,53.5,397455
2020-02-03,53.59,54.08,53.35,53.82,328758
2020-02-04,54.19,54.69,54.19,54.69,42232
2020-02-05,54.58,55.34,54.58,55.27,46446
